Билет №1: Lego StarWars, конструктор(2)
Билет №3: Porsche, масштабные модели(5)
Билет №5: Porsche, масштабные модели(5)
Билет №7: Porsche, масштабные модели(5)
Билет №12: Monopoly, настольная игра(3)
Билет №14: Toyota Celica, масштабные модели(6)
Билет №17: Маша, кукла(0)
Билет №18: Toyota Celica, масштабные модели(6)
Билет №27: Lego StarWars, конструктор(2)
Билет №53: Lego StarWars, конструктор(2)
Билет №62: Monopoly, настольная игра(3)
Билет №63: Toyota Celica, масштабные модели(6)
Билет №64: Toyota Celica, масштабные модели(6)
Билет №68: Набор для выжигания, наборы для творчества(4)
Билет №72: Маша, кукла(0)
Билет №81: Monopoly, настольная игра(3)
Билет №86: Маша, кукла(0)
Билет №88: Набор для выжигания, наборы для творчества(4)
Билет №93: Toyota Celica, масштабные модели(6)
Билет №101: Lego MainCraft, конструктор(1)
Билет №106: Набор для выжигания, наборы для творчества(4)
Билет №119: Набор для выжигания, наборы для творчества(4)
Билет №122: Маша, кукла(0)
Билет №136: Lego MainCraft, конструктор(1)
Билет №142: Porsche, масштабные модели(5)
Билет №151: Monopoly, настольная игра(3)
Билет №156: Toyota Celica, масштабные модели(6)
Билет №160: Lego MainCraft, конструктор(1)
